id,string,number,olddate,boolean
1,heavy,70169,2023-12-05,0
2,write,76314,2004-07-09,1
3,officer,35043,2019-12-11,1
4,party,64755,1985-06-16,0
5,when,17958,1997-03-08,1
6,book,26123,1971-02-01,0
7,everything,48659,2002-11-17,1
8,system,26421,1994-03-13,1
9,like,89141,2023-08-10,1
10,budget,47958,1978-04-30,0
11,president,81328,2014-01-17,1
12,understand,42756,1993-09-05,0
13,character,93615,2008-02-05,0
14,as,49740,1998-07-30,0
15,simple,33962,1974-03-17,0
16,style,81953,2001-12-15,1
17,way,85089,2023-08-17,0
18,word,40349,2018-10-24,0
19,put,34883,2016-07-08,1
20,war,23317,1999-06-10,0
21,remain,37444,1986-12-16,1
22,wide,25085,2023-12-06,0
23,language,58733,1970-11-02,1
24,we,20238,1996-12-02,0
25,growth,97747,2010-05-28,0
26,piece,82475,2021-10-09,0
27,should,64666,1983-03-21,1
28,quality,78480,2009-04-06,1
29,return,51771,1983-03-29,1
30,magazine,71772,1987-04-23,0
31,southern,46812,2023-08-23,0
32,evidence,80722,2013-07-23,0
33,leader,19306,1998-08-28,0
34,cup,80666,2005-08-28,1
35,read,56682,2020-06-24,0
36,hot,87841,2016-02-28,0
37,establish,44339,2011-09-03,0
38,cost,43358,1984-08-28,0
39,style,19161,2009-03-16,0
40,parent,44021,1971-10-02,1
41,summer,21639,2001-06-09,1
42,eat,65852,1976-02-02,1
43,dog,90416,1986-01-23,0
44,most,94925,1994-10-25,0
45,material,88842,2023-12-10,0
46,image,88589,2012-01-18,0
47,father,19438,2014-07-19,0
48,star,42237,1997-06-13,1
49,it,42454,2013-11-04,0
50,show,97662,2004-02-18,1
51,certainly,60466,1984-06-20,1
52,big,51728,2012-11-04,1
53,morning,34609,2003-01-26,0
54,believe,14930,2023-01-13,0
55,toward,82657,2017-06-22,1
56,action,48321,2008-04-05,1
57,near,61942,1975-06-19,0
58,factor,45854,2008-08-29,1
59,plan,12258,1977-07-03,1
60,star,84578,1981-04-25,0
61,view,79992,2018-03-09,0
62,order,25468,1996-11-02,1
63,treatment,23352,1984-07-22,1
64,country,69578,2003-08-26,0
65,indicate,51500,2000-11-21,0
66,factor,42570,1973-02-02,1
67,former,93393,1986-03-10,1
68,letter,27658,1981-06-26,1
69,thing,39816,1981-12-08,1
70,how,48586,1980-03-21,1
71,statement,86160,1984-05-21,1
72,hand,31573,2007-11-26,0
73,support,11623,2007-11-09,1
74,difference,90320,2011-03-04,1
75,exactly,89070,1972-03-19,1
76,art,43855,1975-08-11,1
77,beyond,42885,2021-12-01,1
78,chair,42340,1971-11-11,1
79,politics,85987,2004-03-02,0
80,dinner,57104,2002-06-06,0
81,word,97848,2003-05-09,1
82,nothing,95222,1991-11-17,1
83,vote,79279,1995-09-02,1
84,should,20690,1975-02-25,1
85,west,53017,1999-10-17,1
86,may,81540,1993-03-24,1
87,new,27158,2018-03-27,1
88,simple,85772,1984-10-11,0
89,international,88583,1976-01-15,1
90,product,79599,1985-10-05,1
91,risk,41457,2020-09-23,1
92,similar,11009,2019-05-24,1
93,too,64969,1979-04-11,0
94,win,38283,2016-07-03,0
95,consider,21794,2015-09-05,1
96,base,75726,2003-09-25,1
97,news,51727,2019-05-25,1
98,common,93306,1997-07-22,1
99,unit,15343,1979-03-26,1
100,focus,74658,2007-08-26,0
101,play,78046,1973-03-22,0
102,with,34714,2023-08-16,1
103,cold,56670,1989-11-22,1
104,art,57068,1994-01-08,0
105,win,98175,1993-03-18,1
106,natural,27207,1976-06-18,1
107,thank,44036,1995-12-15,0
108,small,45981,1985-12-07,1
109,fast,60533,2007-11-02,0
110,world,70731,2023-11-08,1
111,service,40176,1992-05-31,1
112,southern,32326,2020-09-18,1
113,still,30113,1974-07-31,1
114,vote,98553,2002-08-17,0
115,score,50236,1972-07-04,1
116,produce,69284,1990-09-04,0
117,wind,96210,1982-12-07,1
118,sister,14553,1994-10-10,0
119,heavy,95631,2003-03-15,1
120,while,55125,2017-06-13,1
121,available,54208,1980-12-10,1
122,forget,92903,1993-04-02,0
123,significant,91704,1994-04-02,1
124,sometimes,98279,1998-08-09,1
125,conference,89255,2005-06-01,1
126,present,95685,1970-07-23,1
127,step,32208,1973-03-23,1
128,almost,39969,2022-05-18,1
129,wind,25041,2001-09-28,0
130,east,40725,2003-08-05,1
131,food,12510,2022-12-11,1
132,test,36113,2023-05-26,1
133,generation,51992,2005-01-08,0
134,hospital,16952,1992-04-22,1
135,foreign,77446,2024-03-05,1
136,character,60123,2023-02-06,1
137,behavior,98190,1992-02-01,1
138,board,51750,1982-12-21,0
139,fly,45094,1979-10-16,1
140,wonder,26488,1989-04-26,1
141,upon,86680,2012-04-10,0
142,him,28646,2014-03-03,0
143,stop,82220,2017-08-25,1
144,speech,93217,2012-06-07,0
145,analysis,15834,1983-12-02,1
146,high,78931,2002-03-28,0
147,simply,43124,1991-01-14,0
148,fast,67074,2014-08-05,0
149,Republican,75347,1976-11-26,0
150,fine,75348,2020-05-26,1
151,near,34085,2013-09-16,0
152,small,53606,1972-08-28,0
153,property,87205,2008-12-09,1
154,today,44168,2013-09-26,0
155,adult,45085,1999-07-17,1
156,term,93737,2011-07-27,1
157,activity,16035,2007-03-04,0
158,return,37440,2007-06-14,1
159,better,99669,1972-01-03,1
